ID_image; SliceThickness; Shape Image; Shape Label; Spacing; LUL; LLL; RUL; RML; RLL
lung_001; 1.0; 304; 304; 1.000,0.693,0.693; 0.001; 0.003; 0.006; 0.001; 0.011
lung_002; 1.25; 269; 269; 1.250,0.898,0.898; 0.000; 0.000; 0.005; 0.004; 0.007
lung_003; 1.2456597089767456; 288; 288; 1.246,0.938,0.938; 0.002; 0.027; 0.005; 0.007; 0.005
lung_004; 1.2454710006713867; 276; 276; 1.245,0.828,0.828; 0.010; 0.002; 0.034; 0.001; 0.008
lung_005; 1.0; 329; 329; 1.000,0.654,0.654; 0.008; 0.011; 0.005; 0.056; 0.009
lung_006; 0.625; 567; 567; 0.625,0.977,0.977; 0.003; 0.001; 0.005; 0.006; 0.003
lung_009; 1.25; 301; 301; 1.250,0.820,0.820; 0.002; 0.002; 0.092; 0.001; 0.003
lung_010; 1.25; 241; 241; 1.250,0.598,0.598; 0.027; 0.025; 0.013; 0.003; 0.004
lung_013; 1.25; 265; 265; 1.250,0.938,0.938; 0.000; 0.000; 0.009; 0.001; 0.001
lung_015; 1.25; 277; 277; 1.250,0.820,0.820; 0.041; 0.146; 0.027; 0.002; 0.139
lung_016; 1.2445175647735596; 228; 228; 1.245,0.777,0.777; 0.005; 0.059; 0.001; 0.000; 0.022
lung_017; 0.625; 580; 580; 0.625,0.859,0.859; 0.001; 0.001; 0.000; 0.001; 0.004
lung_018; 1.25; 273; 273; 1.250,0.859,0.859; 0.004; 0.006; 0.015; 0.001; 0.044
lung_019; 2.5; 129; 129; 2.500,0.656,0.656; 0.008; 0.003; 0.048; 0.000; 0.005
lung_021; 1.25; 235; 235; 1.250,0.859,0.859; 0.011; 0.050; 0.003; 0.000; 0.014
lung_022; 0.625; 483; 483; 0.625,0.842,0.842; 0.149; 0.098; 0.104; 0.006; 0.203
lung_023; 0.625; 531; 531; 0.625,0.820,0.820; 0.014; 0.001; 0.006; 0.000; 0.014
lung_024; 0.625; 565; 565; 0.625,0.760,0.760; 0.011; 0.060; 0.040; 0.003; 0.129
lung_025; 0.9973404407501221; 376; 376; 0.997,0.801,0.801; 0.012; 0.003; 0.012; 0.001; 0.010
lung_027; 1.2452651262283325; 264; 264; 1.245,0.859,0.859; 0.007; 0.033; 0.012; 0.006; 0.096
lung_028; 1.2450199127197266; 251; 251; 1.245,0.910,0.910; 0.004; 0.032; 0.006; 0.007; 0.012
lung_034; 1.2457770109176636; 296; 296; 1.246,0.898,0.898; 0.009; 0.006; 0.003; 0.012; 0.015
lung_041; 1.2447916269302368; 240; 240; 1.245,0.820,0.820; 0.060; 0.022; 0.057; 0.010; 0.090
lung_064; 1.2449597120285034; 248; 248; 1.245,0.703,0.703; 0.041; 0.056; 0.151; 0.003; 0.046
lung_065; 2.5; 128; 128; 2.500,0.727,0.727; 0.047; 0.007; 0.033; 0.022; 0.006
lung_070; 1.2453007698059082; 266; 266; 1.245,0.762,0.762; 0.007; 0.002; 0.059; 0.117; 0.019
lung_071; 1.245674729347229; 289; 289; 1.246,0.703,0.703; 0.001; 0.005; 0.001; 0.010; 0.001
lung_074; 1.0; 369; 369; 1.000,0.625,0.625; 0.028; 0.003; 0.004; 0.022; 0.001
lung_095; 1.2445887327194214; 231; 231; 1.245,0.771,0.771; 0.020; 0.011; 0.064; 0.047; 0.024
lung_096; 1.2450199127197266; 251; 251; 1.245,0.783,0.783; 0.004; 0.002; 0.001; 0.002; 0.002
